FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
000103,Qatar Airlines,1876,DOH,DOX,9/1/2024 23:45,9/2/2024 0:11,9/2/2024 5:45,9/2/2024 6:03,18,Maintenance,TRUE,FALSE,Boeing 777,N73397,1241
000104,Qatar Airlines,9657,DOX,MEL,9/1/2024 21:46,9/1/2024 21:52,9/2/2024 1:46,9/2/2024 1:38,-8,,FALSE,TRUE,Boeing 737,N29011,780
000105,Qatar Airlines,9544,MEL,MAA,9/1/2024 0:55,9/1/2024 1:17,9/1/2024 6:55,9/1/2024 7:09,14,Air Traffic Control,FALSE,FALSE,Boeing 737,N38072,1526
000106,Qatar Airlines,3438,MAA,DOH,9/1/2024 13:39,9/1/2024 13:46,9/1/2024 19:39,9/1/2024 19:59,20,Maintenance,FALSE,TRUE,Boeing 737,N63216,502
000107,Qatar Airlines,6768,KUL,ZRH,9/1/2024 3:52,9/1/2024 4:02,9/1/2024 7:52,9/1/2024 7:56,4,Weather,TRUE,TRUE,Boeing 737,N56746,1525
000108,Qatar Airlines,1332,BAH,MEL,9/1/2024 4:35,9/1/2024 4:49,9/1/2024 5:35,9/1/2024 6:05,30,Maintenance,TRUE,TRUE,Boeing 737,N66805,1435
000109,Qatar Airlines,5828,JED,DOH,9/1/2024 4:44,9/1/2024 5:08,9/1/2024 9:44,9/1/2024 9:57,13,Weather,FALSE,FALSE,Boeing 777,N12722,1722
000110,Qatar Airlines,4850,MCT,MAA,9/1/2024 5:15,9/1/2024 5:33,9/1/2024 6:15,9/1/2024 6:40,25,Weather,TRUE,TRUE,Airbus A320,N31732,1224
000111,Qatar Airlines,4941,DOH,MCT,9/1/2024 3:39,9/1/2024 4:00,9/1/2024 5:39,9/1/2024 6:07,28,Weather,FALSE,TRUE,Boeing 737,N79619,1428
000112,Qatar Airlines,1850,AUH,MCT,9/1/2024 18:30,9/1/2024 18:53,9/1/2024 20:30,9/1/2024 20:22,-8,,FALSE,TRUE,Airbus A320,N60616,140
000113,Qatar Airlines,4728,PVG,MLE,9/1/2024 4:18,9/1/2024 4:25,9/1/2024 7:18,9/1/2024 7:12,-6,,TRUE,FALSE,Airbus A320,N31314,2465
000114,Qatar Airlines,2334,MAA,CMD,9/1/2024 6:44,9/1/2024 7:11,9/1/2024 10:44,9/1/2024 10:59,15,Air Traffic Control,FALSE,FALSE,Boeing 777,N36204,650
000115,Qatar Airlines,6764,SYD,ZRH,9/1/2024 23:32,9/1/2024 23:34,9/2/2024 0:32,9/2/2024 0:33,1,Weather,TRUE,FALSE,Airbus A320,N11701,2571
000116,Qatar Airlines,8765,BKK,MEL,9/1/2024 13:23,9/1/2024 13:50,9/1/2024 15:23,9/1/2024 15:40,17,Maintenance,TRUE,FALSE,Airbus A320,N99933,715
000117,Qatar Airlines,7564,SFO,DOH,9/1/2024 1:01,9/1/2024 1:22,9/1/2024 5:01,9/1/2024 5:27,26,Air Traffic Control,TRUE,FALSE,Boeing 777,N94080,2707
000118,Qatar Airlines,3914,MIA,SYD,9/1/2024 14:02,9/1/2024 14:31,9/1/2024 17:02,9/1/2024 17:20,18,Air Traffic Control,FALSE,FALSE,Boeing 777,N78517,2349
000119,Qatar Airlines,3789,DXB,DOH,9/1/2024 16:24,9/1/2024 16:42,9/1/2024 18:24,9/1/2024 18:28,4,Weather,FALSE,FALSE,Airbus A320,N10311,820
000120,Qatar Airlines,8426,SIN,MAA,9/1/2024 5:46,9/1/2024 6:15,9/1/2024 7:46,9/1/2024 7:46,0,,FALSE,FALSE,Airbus A320,N50456,1253
000121,Qatar Airlines,9278,MLE,AUH,9/1/2024 5:16,9/1/2024 5:25,9/1/2024 8:16,9/1/2024 8:10,-6,,TRUE,TRUE,Boeing 777,N14605,823
000122,Qatar Airlines,4889,HKG,JED,9/1/2024 5:12,9/1/2024 5:41,9/1/2024 11:12,9/1/2024 11:15,3,Air Traffic Control,TRUE,FALSE,Boeing 737,N80232,2714
000123,Qatar Airlines,3422,MAA,AUH,9/1/2024 18:42,9/1/2024 18:53,9/1/2024 21:42,9/1/2024 21:48,6,Weather,FALSE,TRUE,Boeing 737,N74337,845
000124,Qatar Airlines,4511,MLE,BKK,9/1/2024 19:36,9/1/2024 19:49,9/2/2024 0:36,9/2/2024 1:04,28,Air Traffic Control,FALSE,FALSE,Boeing 777,N30599,1294
